variable_name,variable_label,value_label_set,value_labels
q14b,How many children in the following age groups currently live in your household?   Number aged 0 to 4:,,
q14b2,How many children in the following age groups currently live in your household?   Number aged 5 to 10:,,
q14b3,How many children in the following age groups currently live in your household?   Number aged 11 to 15:,,
q14bp,(no var label),labels24,1.0 = Prefer not to say
q14_sum,SUM OF ADULTS IN HOUSEHOLD,,
q13_q14_sum,SUM OF CHILDREN IN HOUSEHOLD,,
q15_hhold_1,"Please could you tell us how the other members of this household are related to you?  - Partner or spouse (Include husband or wife, civil partners, partners)",labels25,"1.0 = Partner or spouse (Include husband or wife, civil partners, partners)"
q15_hhold_2,Please could you tell us how the other members of this household are related to you?  - Son(s) or daughter(s) (including step-children) who live with me full-time*,labels26,1.0 = Son(s) or daughter(s) (including step-children) who live with me full-time*
q15_hhold_3,Please could you tell us how the other members of this household are related to you?  - Son(s) or daughters(s) (including step-children) who only live with me part of the week  (only include regular arrangements)*,labels27,1.0 = Son(s) or daughters(s) (including step-children) who only live with me part of the week  (only include regular arrangeme
q15_hhold_4,Please could you tell us how the other members of this household are related to you?  - Mother or father (include mothers/fathers in-laws and step-mother or step-father),labels28,1.0 = Mother or father (include mothers/fathers in-laws and step-mother or step-father)
q15_hhold_5,Please could you tell us how the other members of this household are related to you?  - Grandparent(s),labels29,1.0 = Grandparent(s)
q15_hhold_6,Please could you tell us how the other members of this household are related to you?  - Grandchild or grandchildren,labels30,1.0 = Grandchild or grandchildren
q15_hhold_7,Please could you tell us how the other members of this household are related to you?  - Sister(s) or brother(s) (Include brothers/sisters in-law and step-brothers/sisters),labels31,1.0 = Sister(s) or brother(s) (Include brothers/sisters in-law and step-brothers/sisters)
q15_hhold_8,Please could you tell us how the other members of this household are related to you?  - Other relation,labels32,1.0 = Other relation
q15_hhold_9,Please could you tell us how the other members of this household are related to you?  - Friend(s) and/or house shares,labels33,1.0 = Friend(s) and/or house shares
q15_hhold_10,Please could you tell us how the other members of this household are related to you?  - Lodger(s) or someone renting a room,labels34,1.0 = Lodger(s) or someone renting a room
q15_hhold_11,Please could you tell us how the other members of this household are related to you?  - Don’t know,labels35,1.0 = Don’t know
